industry,facility_size,leak_category,leak_contribution,intervention_id,intervention_category,intervention_cost,expected_CO2_reduction,implementation_difficulty,industry_fit,adoption_outcome
plastic,large,energy,0.351,INT-EN-004,energy,8419.0,4.45,low,True,67.4
plastic,small,energy,0.338,INT-EN-004,energy,7507.0,4.44,low,True,62.9
plastic,large,energy,0.549,INT-EN-004,energy,9736.0,5.49,low,True,71.8
plastic,medium,energy,0.368,INT-EN-004,energy,7472.0,5.3,low,True,66.9
plastic,small,energy,0.212,INT-EN-004,energy,7634.0,5.31,low,True,58.4
plastic,large,energy,0.291,INT-EN-004,energy,9163.0,5.19,low,True,69.7
plastic,medium,energy,0.132,INT-EN-004,energy,7900.0,5.3,low,True,57.7
plastic,small,energy,0.208,INT-EN-004,energy,9036.0,5.31,low,True,63.0
plastic,large,energy,0.164,INT-EN-004,energy,9622.0,5.36,low,True,59.6
plastic,small,energy,0.355,INT-EN-004,energy,8593.0,4.71,low,True,64.5
plastic,small,energy,0.576,INT-EN-004,energy,7642.0,4.88,low,True,67.9
plastic,large,energy,0.142,INT-EN-004,energy,9563.0,4.54,low,True,59.7
plastic,large,energy,0.177,INT-EN-004,energy,9746.0,5.26,low,True,52.2
plastic,medium,energy,0.559,INT-EN-004,energy,8096.0,4.15,low,True,75.5
plastic,medium,energy,0.493,INT-EN-004,energy,7765.0,5.41,low,True,71.7
plastic,medium,energy,0.597,INT-EN-004,energy,7941.0,4.17,low,True,74.4
plastic,medium,energy,0.284,INT-EN-004,energy,9576.0,4.54,low,True,61.6
plastic,small,energy,0.392,INT-EN-004,energy,8431.0,5.45,low,True,63.5
plastic,small,energy,0.101,INT-EN-004,energy,8372.0,5.37,low,True,54.7
plastic,large,energy,0.573,INT-EN-004,energy,8159.0,5.14,low,True,73.7
plastic,small,energy,0.552,INT-EN-004,energy,8294.0,5.01,low,True,69.0
plastic,large,energy,0.145,INT-EN-004,energy,7459.0,5.04,low,True,58.7
plastic,small,energy,0.183,INT-EN-004,energy,9209.0,5.32,low,True,55.8
plastic,small,energy,0.223,INT-EN-004,energy,7579.0,4.49,low,True,59.7
food,small,energy,0.445,INT-EN-004,energy,9655.0,4.96,low,False,20.5
plastic,small,energy,0.288,INT-EN-004,energy,8973.0,4.11,low,True,59.0
plastic,large,energy,0.567,INT-EN-004,energy,9403.0,4.54,low,True,75.2
plastic,medium,energy,0.254,INT-EN-004,energy,7848.0,5.39,low,True,66.0
plastic,large,energy,0.478,INT-EN-004,energy,9170.0,4.77,low,True,69.0
plastic,large,energy,0.23,INT-EN-004,energy,7882.0,4.92,low,True,62.4
plastic,medium,energy,0.167,INT-EN-004,energy,7244.0,4.56,low,True,60.6
plastic,large,energy,0.483,INT-EN-004,energy,7520.0,4.64,low,True,68.3
plastic,large,energy,0.402,INT-EN-004,energy,9604.0,5.49,low,True,71.4
plastic,medium,energy,0.54,INT-EN-005,energy,18883.0,4.59,medium,True,64.0
food,small,energy,0.34,INT-EN-005,energy,19005.0,5.44,medium,True,54.8
textile,small,energy,0.458,INT-EN-005,energy,20574.0,4.92,medium,True,62.3
textile,small,energy,0.264,INT-EN-005,energy,19552.0,5.72,medium,True,51.7
plastic,medium,energy,0.497,INT-EN-005,energy,17953.0,5.81,medium,True,70.5
plastic,large,energy,0.358,INT-EN-005,energy,15665.0,4.5,medium,True,62.1
plastic,large,energy,0.419,INT-EN-005,energy,19745.0,4.68,medium,True,64.3
food,small,energy,0.506,INT-EN-005,energy,15801.0,5.04,medium,True,66.4
food,small,energy,0.47,INT-EN-005,energy,17809.0,4.99,medium,True,56.1
food,medium,energy,0.125,INT-EN-005,energy,16252.0,4.69,medium,True,55.7
food,large,energy,0.42,INT-EN-005,energy,17723.0,5.03,medium,True,65.6
food,large,energy,0.195,INT-EN-005,energy,18843.0,4.87,medium,True,52.5
food,large,energy,0.449,INT-EN-005,energy,15444.0,4.5,medium,True,62.8
textile,medium,energy,0.474,INT-EN-005,energy,19764.0,5.3,medium,True,68.7
plastic,small,energy,0.373,INT-EN-005,energy,18954.0,4.52,medium,True,55.9
textile,medium,energy,0.169,INT-EN-005,energy,20107.0,5.15,medium,True,58.3
food,medium,energy,0.385,INT-EN-005,energy,16356.0,5.48,medium,True,68.8
plastic,medium,energy,0.172,INT-EN-005,energy,16027.0,5.76,medium,True,55.4
plastic,small,energy,0.218,INT-EN-005,energy,18597.0,4.74,medium,True,49.8
plastic,large,energy,0.14,INT-EN-005,energy,18646.0,4.61,medium,True,56.9
plastic,small,energy,0.598,INT-EN-005,energy,15539.0,5.05,medium,True,65.1
food,small,energy,0.169,INT-EN-005,energy,20585.0,5.2,medium,True,48.7
textile,large,energy,0.247,INT-EN-005,energy,16343.0,4.58,medium,True,61.0
textile,medium,energy,0.304,INT-EN-005,energy,18719.0,5.87,medium,True,58.1
textile,large,energy,0.375,INT-EN-005,energy,17794.0,5.45,medium,True,62.8
plastic,large,energy,0.129,INT-EN-005,energy,16197.0,5.55,medium,True,55.2
textile,large,energy,0.214,INT-EN-005,energy,19765.0,5.87,medium,True,60.6
textile,large,energy,0.284,INT-EN-005,energy,20289.0,5.32,medium,True,60.8
food,large,energy,0.094,INT-EN-005,energy,19315.0,5.75,medium,True,48.9
textile,small,energy,0.252,INT-EN-005,energy,20045.0,5.0,medium,True,53.7
food,small,energy,0.338,INT-EN-005,energy,18197.0,5.93,medium,True,53.7
food,small,energy,0.537,INT-EN-005,energy,17322.0,4.58,medium,True,63.2
plastic,medium,waste,0.301,INT-EN-005,energy,17298.0,5.07,medium,False,15.3
textile,small,energy,0.238,INT-EN-005,energy,20021.0,4.46,medium,True,50.9
food,medium,energy,0.428,INT-EN-005,energy,17334.0,5.39,medium,True,67.2
food,large,energy,0.153,INT-EN-005,energy,16318.0,4.96,medium,True,52.1
textile,small,energy,0.587,INT-EN-005,energy,15736.0,5.44,medium,True,70.8
textile,medium,energy,0.099,INT-EN-005,energy,18187.0,5.97,medium,True,60.4
textile,small,energy,0.55,INT-EN-005,energy,15544.0,5.88,medium,True,61.7
food,small,energy,0.161,INT-EN-005,energy,18188.0,5.85,medium,True,49.3
plastic,large,energy,0.584,INT-EN-006,energy,4244.0,2.81,low,True,70.4
textile,small,energy,0.448,INT-EN-006,energy,4946.0,3.54,low,True,69.8
plastic,medium,energy,0.364,INT-EN-006,energy,4559.0,3.47,low,True,69.0
plastic,large,energy,0.281,INT-EN-006,energy,4313.0,3.0,low,True,64.2
textile,medium,energy,0.564,INT-EN-006,energy,4651.0,2.67,low,True,70.4
food,small,energy,0.348,INT-EN-006,energy,5089.0,3.54,low,True,67.8
food,medium,energy,0.181,INT-EN-006,energy,4593.0,3.48,low,True,59.6
plastic,large,energy,0.401,INT-EN-006,energy,4992.0,3.52,low,True,70.3
plastic,medium,energy,0.572,INT-EN-006,energy,4336.0,3.35,low,True,70.0
plastic,medium,energy,0.43,INT-EN-006,energy,4412.0,2.85,low,True,68.3
plastic,large,energy,0.136,INT-EN-006,energy,4497.0,3.12,low,True,55.3
food,small,energy,0.329,INT-EN-006,energy,4394.0,2.7,low,True,58.9
food,large,energy,0.59,INT-EN-006,energy,4458.0,3.47,low,True,69.2
textile,large,energy,0.487,INT-EN-006,energy,4403.0,3.23,low,True,75.5
food,small,energy,0.429,INT-EN-006,energy,5122.0,2.98,low,True,68.1
textile,medium,energy,0.319,INT-EN-006,energy,4116.0,3.33,low,True,63.5
textile,medium,energy,0.545,INT-EN-006,energy,4193.0,2.74,low,True,65.7
textile,small,energy,0.355,INT-EN-006,energy,5017.0,3.34,low,True,66.6
plastic,large,energy,0.157,INT-EN-006,energy,4194.0,2.92,low,True,55.9
textile,large,energy,0.33,INT-EN-006,energy,4881.0,3.33,low,True,65.5
food,medium,energy,0.268,INT-EN-006,energy,4063.0,3.07,low,True,61.9
food,large,energy,0.222,INT-EN-006,energy,4002.0,3.04,low,True,61.0
food,large,energy,0.564,INT-EN-006,energy,4497.0,3.23,low,True,65.5
plastic,medium,energy,0.552,INT-EN-006,energy,4893.0,3.06,low,True,73.0
textile,medium,energy,0.292,INT-EN-006,energy,4592.0,3.15,low,True,58.9
textile,large,energy,0.521,INT-EN-006,energy,5168.0,3.45,low,True,70.0
plastic,small,energy,0.395,INT-EN-006,energy,5092.0,2.96,low,True,63.6
textile,small,energy,0.11,INT-EN-006,energy,5107.0,3.01,low,True,50.9
plastic,large,energy,0.502,INT-EN-006,energy,4182.0,3.48,low,True,71.1
plastic,large,energy,0.224,INT-EN-006,energy,5127.0,2.88,low,True,60.4
food,large,energy,0.481,INT-EN-006,energy,4336.0,3.41,low,True,66.7
plastic,medium,materials,0.1,INT-EN-006,energy,4106.0,3.12,low,False,17.6
plastic,medium,energy,0.273,INT-EN-006,energy,4080.0,2.82,low,True,59.3
food,large,energy,0.439,INT-EN-006,energy,5152.0,3.02,low,True,68.2
plastic,small,energy,0.472,INT-EN-006,energy,3957.0,3.07,low,True,65.2
textile,medium,energy,0.494,INT-EN-006,energy,5050.0,3.38,low,True,71.0
plastic,small,energy,0.571,INT-EN-006,energy,4368.0,2.84,low,True,65.1
plastic,small,energy,0.412,INT-EN-006,energy,4882.0,2.83,low,True,66.5
plastic,large,energy,0.106,INT-EN-006,energy,4996.0,2.92,low,True,51.8
textile,small,energy,0.568,INT-EN-006,energy,4808.0,3.05,low,True,69.9
food,large,energy,0.47,INT-EN-007,energy,22473.0,5.14,medium,True,64.1
food,medium,energy,0.285,INT-EN-007,energy,26066.0,6.52,medium,True,63.6
plastic,large,energy,0.178,INT-EN-007,energy,26126.0,6.6,medium,True,60.9
plastic,large,energy,0.412,INT-EN-007,energy,23812.0,6.65,medium,True,66.7
food,large,energy,0.49,INT-EN-007,energy,23156.0,6.64,medium,True,71.8
plastic,large,energy,0.395,INT-EN-007,energy,25141.0,6.37,medium,True,66.5
food,large,energy,0.338,INT-EN-007,energy,20798.0,5.54,medium,True,62.0
food,medium,waste,0.47,INT-EN-007,energy,22255.0,6.44,medium,False,19.8
plastic,medium,energy,0.208,INT-EN-007,energy,22061.0,4.98,medium,True,54.2
food,small,energy,0.356,INT-EN-007,energy,23828.0,5.71,medium,True,56.4
food,small,energy,0.262,INT-EN-007,energy,24566.0,5.18,medium,True,48.3
food,large,energy,0.168,INT-EN-007,energy,21925.0,5.09,medium,True,52.1
food,small,energy,0.149,INT-EN-007,energy,26356.0,5.94,medium,True,47.3
food,medium,energy,0.352,INT-EN-007,energy,25532.0,5.71,medium,True,63.8
food,small,energy,0.216,INT-EN-007,energy,21505.0,5.36,medium,True,51.7
plastic,large,energy,0.12,INT-EN-007,energy,25908.0,5.47,medium,True,56.6
food,medium,energy,0.376,INT-EN-007,energy,22487.0,5.89,medium,True,69.8
food,small,energy,0.441,INT-EN-007,energy,25258.0,6.12,medium,True,56.9
food,small,energy,0.196,INT-EN-007,energy,23575.0,6.22,medium,True,49.4
plastic,large,energy,0.402,INT-EN-007,energy,27081.0,5.79,medium,True,66.8
plastic,large,energy,0.348,INT-EN-007,energy,23867.0,6.53,medium,True,67.3
food,large,energy,0.174,INT-EN-007,energy,21962.0,5.1,medium,True,55.9
food,medium,energy,0.097,INT-EN-007,energy,24504.0,5.2,medium,True,49.0
food,medium,energy,0.414,INT-EN-007,energy,23368.0,6.25,medium,True,62.9
textile,large,energy,0.522,INT-EN-007,energy,27592.0,5.32,medium,False,21.5
food,large,energy,0.597,INT-EN-007,energy,27530.0,5.85,medium,True,69.7
plastic,medium,energy,0.355,INT-EN-007,energy,26396.0,5.46,medium,True,63.3
food,medium,waste,0.495,INT-EN-007,energy,22338.0,5.49,medium,False,21.8
plastic,medium,energy,0.292,INT-EN-007,energy,25794.0,5.51,medium,True,57.2
plastic,small,energy,0.312,INT-EN-007,energy,22041.0,6.25,medium,True,53.0
food,small,energy,0.421,INT-EN-007,energy,22380.0,5.04,medium,True,58.8
food,small,energy,0.161,INT-EN-007,energy,24767.0,5.7,medium,True,45.0
plastic,large,energy,0.086,INT-EN-007,energy,21686.0,6.5,medium,True,54.2
food,small,energy,0.457,INT-EN-007,energy,24716.0,6.59,medium,True,56.7
food,medium,energy,0.197,INT-EN-007,energy,20731.0,5.54,medium,True,56.6
plastic,medium,energy,0.397,INT-EN-007,energy,25992.0,6.34,medium,True,65.9
food,medium,energy,0.208,INT-EN-007,energy,20706.0,5.32,medium,True,53.8
plastic,small,energy,0.561,INT-EN-007,energy,21850.0,6.55,medium,True,63.6
textile,large,energy,0.477,INT-EN-007,energy,27385.0,6.51,medium,False,19.2
food,small,energy,0.399,INT-EN-007,energy,24826.0,5.66,medium,True,59.7
plastic,medium,materials,0.459,INT-MAT-001,materials,24303.0,13.09,medium,True,80.2
plastic,large,energy,0.272,INT-MAT-001,materials,19854.0,12.09,medium,False,21.0
food,medium,materials,0.527,INT-MAT-001,materials,21196.0,14.59,medium,False,24.5
plastic,large,energy,0.44,INT-MAT-001,materials,25216.0,11.82,medium,False,19.4
plastic,small,materials,0.117,INT-MAT-001,materials,21837.0,14.2,medium,True,64.1
plastic,small,materials,0.518,INT-MAT-001,materials,21646.0,14.99,medium,True,79.7
plastic,large,materials,0.334,INT-MAT-001,materials,19635.0,11.82,medium,True,73.5
plastic,medium,materials,0.309,INT-MAT-001,materials,21435.0,13.29,medium,True,76.4
plastic,small,materials,0.274,INT-MAT-001,materials,22999.0,11.65,medium,True,64.9
plastic,medium,materials,0.501,INT-MAT-001,materials,21194.0,13.32,medium,True,82.9
plastic,medium,materials,0.259,INT-MAT-001,materials,21480.0,11.62,medium,True,73.0
plastic,small,materials,0.477,INT-MAT-001,materials,20580.0,14.34,medium,True,78.4
food,large,materials,0.311,INT-MAT-001,materials,22310.0,11.8,medium,False,18.8
plastic,small,materials,0.518,INT-MAT-001,materials,20838.0,13.12,medium,True,81.5
plastic,small,materials,0.572,INT-MAT-001,materials,20454.0,13.22,medium,True,75.7
plastic,small,waste,0.585,INT-MAT-001,materials,20408.0,13.22,medium,False,19.9
plastic,medium,materials,0.525,INT-MAT-001,materials,21273.0,13.32,medium,True,88.2
plastic,large,materials,0.284,INT-MAT-001,materials,20021.0,13.91,medium,True,79.9
plastic,small,materials,0.265,INT-MAT-001,materials,21002.0,14.06,medium,True,67.5
plastic,small,materials,0.191,INT-MAT-001,materials,24641.0,12.58,medium,True,64.2
plastic,large,materials,0.204,INT-MAT-001,materials,23631.0,11.74,medium,True,71.5
plastic,medium,materials,0.451,INT-MAT-001,materials,25253.0,12.57,medium,True,79.6
plastic,large,materials,0.399,INT-MAT-001,materials,18793.0,14.89,medium,True,83.4
plastic,medium,materials,0.205,INT-MAT-001,materials,20508.0,11.35,medium,True,67.9
plastic,large,materials,0.256,INT-MAT-001,materials,20864.0,11.58,medium,True,72.8
plastic,medium,materials,0.595,INT-MAT-001,materials,24828.0,13.22,medium,True,80.9
plastic,small,materials,0.519,INT-MAT-001,materials,24610.0,12.94,medium,True,75.6
plastic,large,materials,0.563,INT-MAT-001,materials,19323.0,15.16,medium,True,89.1
plastic,small,materials,0.48,INT-MAT-001,materials,23975.0,13.61,medium,True,73.5
plastic,medium,materials,0.295,INT-MAT-001,materials,18980.0,12.99,medium,True,76.6
plastic,large,materials,0.221,INT-MAT-001,materials,24599.0,12.91,medium,True,74.3
plastic,medium,materials,0.214,INT-MAT-001,materials,22018.0,11.82,medium,True,76.0
plastic,medium,materials,0.213,INT-MAT-001,materials,25100.0,14.33,medium,True,73.6
plastic,medium,materials,0.354,INT-MAT-001,materials,19822.0,14.46,medium,True,84.4
plastic,small,materials,0.373,INT-MAT-001,materials,23459.0,11.45,medium,True,65.4
plastic,large,materials,0.346,INT-MAT-001,materials,20406.0,13.85,medium,True,77.7
plastic,large,materials,0.248,INT-MAT-001,materials,22578.0,14.06,medium,True,74.4
plastic,large,energy,0.317,INT-MAT-001,materials,24459.0,13.13,medium,False,24.7
plastic,large,energy,0.573,INT-MAT-001,materials,20777.0,12.63,medium,False,22.4
plastic,small,materials,0.212,INT-MAT-001,materials,23355.0,11.49,medium,True,63.0
plastic,small,materials,0.129,INT-MAT-002,materials,31779.0,17.73,medium,True,67.3
plastic,large,materials,0.359,INT-MAT-002,materials,26294.0,14.33,medium,True,78.7
plastic,medium,materials,0.216,INT-MAT-002,materials,29066.0,15.95,medium,True,73.6
plastic,large,materials,0.386,INT-MAT-002,materials,31916.0,16.61,medium,True,85.6
textile,medium,materials,0.443,INT-MAT-002,materials,32088.0,16.29,medium,True,89.5
plastic,small,materials,0.344,INT-MAT-002,materials,29877.0,18.33,medium,True,77.3
plastic,medium,materials,0.532,INT-MAT-002,materials,24106.0,16.78,medium,True,90.5
textile,large,materials,0.178,INT-MAT-002,materials,26648.0,17.51,medium,True,77.9
textile,medium,materials,0.184,INT-MAT-002,materials,26255.0,18.84,medium,True,76.6
textile,small,materials,0.101,INT-MAT-002,materials,29919.0,14.24,medium,True,59.9
plastic,large,materials,0.325,INT-MAT-002,materials,27883.0,16.18,medium,True,80.5
textile,medium,materials,0.547,INT-MAT-002,materials,32158.0,14.41,medium,True,84.0
plastic,large,materials,0.171,INT-MAT-002,materials,30218.0,16.48,medium,True,76.8
plastic,large,materials,0.122,INT-MAT-002,materials,26007.0,18.91,medium,True,75.7
plastic,small,materials,0.382,INT-MAT-002,materials,26965.0,18.12,medium,True,80.3
